id_symptoms,symptoms,herbs,usage_method,relevance_score
195,Sembelit,Jarak,"Tanaman jarak dikenal sebagai pencahar alami. Untuk mengatasi sembelit, gunakan minyak biji jarak. Konsumsi 1 sendok teh minyak jarak murni, dicampur dengan segelas air hangat. Minum di pagi hari untuk membantu melancarkan buang air besar.","0,95"
196,Nyeri otot,Jarak,"Untuk meredakan nyeri otot, panaskan daun jarak segar hingga layu, lalu tempelkan langsung ke area yang sakit sebagai kompres hangat. Ulangi dua kali sehari untuk hasil optimal, karena daun jarak memiliki sifat anti-inflamasi.","0,75"
197,Luka,Jarak,Hancurkan daun jarak segar hingga keluar sarinya. Tempelkan pada luka atau lecet kecil untuk mempercepat penyembuhan. Daun jarak memiliki sifat antiseptik dan anti-inflamasi yang membantu mencegah infeksi.,"0,85"
198,Pembengkakan,Jarak,"Rebus beberapa daun jarak dalam air hingga mendidih, kemudian gunakan air rebusannya hangat untuk merendam kain. Kompres bengkak atau memar dengan kain tersebut untuk membantu mengurangi peradangan dan pembengkakan.","0,8"
199,Kulit kering,Jarak,"Tumbuk halus 2–3 lembar daun jarak segar, lalu mencampurkannya dengan sedikit minyak kelapa hingga berbentuk pasta. Oleskan pasta tersebut secara merata pada area kulit kering, diamkan selama 15–20 menit, kemudian bilas dengan air hangat.","0,7"
200,Mimisan,Jengger ayam,"Tumbuk segar bunga jengger ayam hingga halus, kemudian tempelkan pada area luka untuk menghentikan pendarahan. Untuk mimisan, keringkan bunga, haluskan menjadi bubuk, dan gunakan sedikit bubuk ini pada lubang hidung.","0,9"
201,Diare,Jengger ayam,Rebus 10 gram bunga jengger ayam kering dengan 2 gelas air hingga tersisa 1 gelas. Saring dan minum hangat 2 kali sehari. Bunga ini memiliki sifat astringen yang membantu meredakan diare.,"0,7"
202,Iritasi kulit,Jengger ayam,"Buat air rebusan dari 5 gram bunga jengger ayam kering dalam segelas air. Setelah dingin, gunakan sebagai kompres dengan kain bersih untuk mengurangi iritasi.","0,8"
203,Pembengkakan,Jengger ayam,"Tumbuk bunga jengger ayam segar, kemudian tempelkan pada area bengkak sebagai kompres selama 15-20 menit. Ulangi 2-3 kali sehari hingga bengkak berkurang.","0,6"
204,Luka,Jengger ayam,"Daun atau bunga jengger ayam (Celosia argentea) dapat digunakan untuk mengobati luka dengan cara menumbuk segenggam bahan hingga halus. Hasil tumbukan ini kemudian ditempelkan langsung pada area luka yang telah dibersihkan, dan lakukan 1–2 kali sehari hingga luka membaik.","0,5"
205,Batuk,Jeruk nipis,Campurkan 1 sendok makan air perasan jeruk nipis dengan 1 sendok makan madu dan sedikit kecap (opsional). Minum ramuan ini 2-3 kali sehari untuk meredakan batuk. Jeruk nipis membantu melonggarkan lendir berlebih di saluran pernapasan.,"0,9"
206,Mual,Jeruk nipis,"Campurkan 1 sendok teh air jeruk nipis ke dalam segelas air hangat, tambahkan sedikit gula atau madu. Minum perlahan saat mual terasa. Kandungan asamnya membantu menenangkan perut dan mencegah rasa ingin muntah.","0,7"
207,Perut kembung,Jeruk nipis,"Peras setengah jeruk nipis ke dalam segelas air hangat, tambahkan sejumput garam. Minum setelah makan untuk membantu mengurangi gas dalam perut dan rasa kembung.","0,8"
208,Sakit tenggorokan,Jeruk nipis,"Peras 1 jeruk nipis, campurkan air perasannya dengan setengah gelas air hangat dan sedikit garam. Gunakan larutan ini untuk berkumur 2-3 kali sehari, membantu meredakan peradangan dan membunuh bakteri.","0,95"
209,Kulit berminyak,Jeruk nipis,"Oleskan air perasan jeruk nipis secara tipis-tipis pada wajah yang telah dibersihkan. Biarkan selama 5-10 menit, lalu bilas dengan air hangat. Sifat astringen jeruk nipis membantu mengurangi produksi minyak berlebih dan mengecilkan pori-pori.",1
210,Mual,Jeruk purut,"Peras 1-2 buah jeruk purut ke dalam segelas air hangat dan tambahkan sedikit madu. Minum perlahan untuk meredakan mual, karena aroma dan asam jeruk purut dapat menenangkan perut.","0,8"
211,Pusing,Jeruk purut,"Gunakan kulit jeruk purut untuk aromaterapi. Hancurkan kulit jeruk purut dan hirup aromanya, atau campurkan minyak esensial jeruk purut dengan minyak kelapa lalu oleskan di pelipis untuk efek relaksasi.","0,7"
212,Kulit berminyak,Jeruk purut,"Peras jeruk purut dan campur airnya dengan sedikit air hangat. Gunakan kapas untuk mengaplikasikan ke wajah sebagai toner alami, yang membantu mengurangi minyak berlebih dan menyegarkan kulit.","0,9"
213,Bau badan,Jeruk purut,"Potong jeruk purut menjadi dua, lalu gosokkan langsung ke area ketiak setelah mandi. Sifat antimikroba pada jeruk purut membantu menghilangkan bau badan dengan menghambat pertumbuhan bakteri.","0,85"
214,Kulit gatal,Jeruk purut,Tumbuk kulit jeruk purut hingga halus dan oleskan pada area gigitan. Sifat anti-inflamasi dan antiseptiknya membantu mengurangi gatal dan iritasi pada kulit.,"0,75"
215,Perut kembung,Jintan putih,Rebus 1 sendok teh biji jintan putih dalam segelas air selama 5-10 menit. Saring airnya dan minum hangat setelah makan. Jintan putih membantu mengurangi produksi gas berlebih dalam saluran pencernaan.,"0,95"
216,Mual,Jintan putih,"Campurkan 1/2 sendok teh biji jintan putih dengan sedikit jahe parut dalam segelas air panas. Diamkan selama 5 menit, saring, dan minum hangat. Kombinasi ini efektif menenangkan lambung dan meredakan rasa mual.","0,85"
217,Diare,Jintan putih,"Rebus 1 sendok teh biji jintan putih bersama sejumput garam dalam 2 gelas air hingga mendidih. Biarkan hingga air berkurang setengah, saring, dan minum hangat dua kali sehari. Jintan putih membantu memperlambat gerakan usus yang terlalu aktif.","0,75"
218,Susah tidur,Jintan putih,"Seduh 1 sendok teh biji jintan putih dengan air panas, tambahkan sedikit madu, dan minum 30 menit sebelum tidur. Senyawa aktif dalam jintan putih membantu menenangkan sistem saraf dan memudahkan tidur.","0,6"
219,Nyeri haid,Jintan putih,"Tumbuk kasar 1 sendok teh biji jintan putih, rebus dengan segelas air hingga mendidih, lalu saring. Minum hangat dua kali sehari selama masa menstruasi. Jintan putih memiliki sifat antispasmodik yang membantu meredakan kram dan nyeri perut.","0,8"
220,Perut kembung,Jombang,Rebus 1-2 sendok teh akar atau daun jombang kering dalam segelas air selama 10 menit. Minum air rebusan hangat ini dua kali sehari untuk membantu meredakan kembung dengan meningkatkan produksi empedu dan melancarkan pencernaan.,"0,8"
221,Tidak nafsu makan,Jombang,"Seduh 1 sendok teh daun jombang kering dengan segelas air panas seperti membuat teh. Diamkan 5 menit, lalu saring dan minum sebelum makan. Jombang membantu merangsang nafsu makan dengan meningkatkan fungsi sistem pencernaan.","0,9"
222,Kulit gatal,Jombang,"Hancurkan daun segar jombang hingga halus, lalu tempelkan pada area kulit yang gatal atau iritasi. Biarkan selama 15-20 menit, kemudian bilas dengan air bersih. Sifat anti-inflamasi dan antimikroba pada jombang membantu meredakan gatal dan iritasi.","0,7"
223,Kelelahan,Jombang,Rebus akar jombang kering (sekitar 2 gram) dengan dua gelas air hingga tersisa setengahnya. Saring dan minum air rebusan ini satu kali sehari. Jombang membantu meningkatkan energi dengan mendetoksifikasi tubuh dan mendukung fungsi hati.,"0,6"
224,Nyeri otot,Jombang,"Buat infus dengan merebus daun dan bunga jombang segar dalam segelas air panas selama 10 menit. Gunakan air rebusan ini untuk kompres hangat pada area otot yang nyeri atau kram, yang membantu mengurangi ketegangan dan peradangan.","0,5"
225,Nyeri sendi,Kamboja,"Rebus beberapa bunga kamboja dalam air hingga mendidih. Setelah airnya hangat, gunakan untuk merendam atau mengompres area sendi yang terasa nyeri. Lakukan ini dua kali sehari untuk membantu mengurangi peradangan dan nyeri.","0,7"
226,Demam,Kamboja,Rebus 5-7 kelopak bunga kamboja dalam 2 gelas air hingga tersisa setengahnya. Saring dan minum air rebusan selagi hangat. Sifat antipiretik dalam bunga kamboja membantu menurunkan suhu tubuh.,"0,4"
227,Pembengkakan,Kamboja,"Tumbuk bunga kamboja segar hingga halus, lalu tempelkan pada area yang bengkak. Biarkan selama 20-30 menit sebelum dibilas dengan air hangat. Ini membantu meredakan pembengkakan berkat sifat anti-inflamasi bunga kamboja.","0,8"
228,Luka,Kamboja,"Ambil getah dari batang bunga kamboja menggunakan kapas, lalu oleskan tipis pada area luka kecil. Getah kamboja membantu mempercepat proses penyembuhan luka berkat sifat antiseptiknya. Jangan gunakan pada luka terbuka besar.","0,6"
229,Kulit gatal,Kamboja,"Tumbuk bunga kamboja segar hingga halus, campur dengan sedikit air, dan oleskan pada area yang gatal. Biarkan beberapa menit sebelum dibilas. Sifat anti-iritasi pada bunga kamboja membantu meredakan rasa gatal.","0,5"
230,Mual,Kapulaga,Seduh 1-2 biji kapulaga dengan segelas air panas selama 5-10 menit. Saring dan minum airnya hangat. Kapulaga membantu meredakan mual karena sifat aromatik dan antispasmodiknya.,"0,9"
231,Bau mulut,Kapulaga,Kunyah 1-2 biji kapulaga setelah makan untuk menyegarkan napas. Minyak atsiri dalam kapulaga bekerja sebagai antibakteri alami untuk menghilangkan bau tak sedap.,1
232,Perut kembung,Kapulaga,Rebus 1 sendok teh kapulaga dalam 2 gelas air hingga tersisa setengah. Minum hangat setelah makan. Kapulaga membantu meredakan gas dalam perut dan memperbaiki pencernaan.,"0,85"
233,Nyeri haid,Kapulaga,Haluskan 1 sendok teh biji kapulaga dan campur dengan air hangat. Minum dua kali sehari selama masa haid. Kapulaga memiliki sifat anti-inflamasi yang membantu mengurangi kram dan nyeri.,"0,7"
234,Kelelahan,Kapulaga,Seduh beberapa biji kapulaga dengan teh hitam atau teh hijau. Tambahkan madu untuk rasa. Minum di pagi atau sore hari untuk meningkatkan energi dan mengurangi rasa lelah.,"0,8"
235,Demam,Kastuba,Kastuba dapat membantu meredakan demam. Rebus 3-5 lembar daun kastuba segar dalam 2 gelas air hingga tersisa setengahnya. Saring air rebusan dan minum hangat dua kali sehari untuk membantu menurunkan suhu tubuh.,"0,7"
236,Sakit kepala,Kastuba,"Daun kastuba dapat digunakan untuk mengurangi sakit kepala. Haluskan beberapa lembar daun kastuba segar hingga menjadi pasta, lalu tempelkan pada dahi selama 20-30 menit. Bilas dengan air bersih setelahnya.","0,6"
237,Nyeri otot,Kastuba,"Untuk meredakan nyeri otot, rebus daun kastuba dengan air hingga hangat. Gunakan air rebusan ini untuk kompres area otot yang terasa nyeri, lakukan dua kali sehari.","0,5"
238,Luka,Kastuba,"Kastuba memiliki sifat antiseptik yang dapat membantu penyembuhan luka kecil. Tumbuk daun kastuba segar hingga halus, lalu oleskan pada luka setelah dicuci bersih. Tutup dengan kain steril dan ganti dua kali sehari.","0,8"
239,Pembengkakan,Kastuba,"Untuk bengkak atau memar, hangatkan daun kastuba segar di atas api kecil hingga layu, kemudian tempelkan pada area yang bengkak. Lakukan 2-3 kali sehari untuk membantu mengurangi pembengkakan.","0,7"
240,Pilek,Katuk,"rebus segenggam daun katuk segar dalam 300 ml air hingga mendidih, kemudian menyaringnya. Air rebusan diminum selagi hangat 1–2 kali sehari untuk membantu meningkatkan imunitas dan meredakan gejala pilek.",1
241,Lemas,Katuk,"Untuk meningkatkan energi, tumis daun katuk segar dengan sedikit minyak atau buat sup daun katuk. Konsumsi sebagai bagian dari menu harian untuk membantu mengatasi kelelahan dan meningkatkan vitalitas tubuh.","0,8"
242,Sembelit,Katuk,Rebus segenggam daun katuk dengan 2 gelas air hingga mendidih. Saring air rebusan dan minum satu kali sehari. Kandungan serat alami dalam daun katuk membantu melancarkan sistem pencernaan.,"0,7"
243,Kulit kering,Katuk,"Gunakan air rebusan daun katuk untuk mencuci wajah atau konsumsi dalam bentuk sup. Daun katuk kaya akan vitamin A dan C, yang membantu menjaga kelembapan kulit dan mencegah kulit kering.","0,5"
244,Kelelahan,Katuk,"Rebus daun katuk dalam 3 gelas air hingga tersisa setengahnya. Minum air rebusan ini satu kali sehari untuk meningkatkan sistem imun, karena katuk kaya akan antioksidan.","0,9"
245,Mual,Kayu manis,"Kayu manis membantu meredakan mual karena sifatnya yang menenangkan pencernaan. Seduh 1 batang kayu manis dengan segelas air panas selama 10 menit, tambahkan sedikit madu, dan minum hangat untuk meredakan mual.","0,8"
246,Perut kembung,Kayu manis,"Untuk mengatasi kembung, rebus 1 batang kayu manis dengan 2 gelas air hingga mendidih. Saring airnya dan minum setengah gelas setelah makan. Kayu manis membantu mengurangi gas berlebih di perut.","0,85"
247,Nyeri haid,Kayu manis,"Kayu manis memiliki sifat anti-spasmodik yang membantu meredakan nyeri haid. Rebus 1 batang kayu manis dalam segelas air, tambahkan jahe jika perlu. Minum hangat dua kali sehari selama masa haid.","0,9"
248,Kelelahan,Kayu manis,"Untuk mengatasi rasa lelah, campurkan setengah sendok teh bubuk kayu manis ke dalam secangkir teh hangat atau susu. Minum di pagi hari untuk meningkatkan energi dan mengurangi rasa lesu.","0,75"
249,Sakit tenggorokan,Kayu manis,"Kayu manis bersifat anti-inflamasi dan antibakteri, cocok untuk meredakan sakit tenggorokan. Rebus 1 batang kayu manis dengan segelas air, tambahkan madu, dan gunakan airnya untuk berkumur atau diminum hangat dua kali sehari.","0,8"
250,Pilek,Kayu putih,"Oleskan minyak kayu putih pada dada, leher, dan punggung untuk memberikan sensasi hangat yang membantu melonggarkan saluran pernapasan. Untuk hasil maksimal, tambahkan beberapa tetes minyak kayu putih ke dalam air hangat dan hirup uapnya selama 5-10 menit.","0,9"
251,Nyeri otot,Kayu putih,Pijat lembut area otot yang terasa nyeri menggunakan minyak kayu putih. Sensasi hangatnya akan membantu merelaksasi otot yang tegang dan meningkatkan sirkulasi darah.,"0,8"
252,Sakit kepala,Kayu putih,"Oleskan minyak kayu putih pada pelipis dan dahi, lalu pijat perlahan selama beberapa menit. Aromanya yang menenangkan dapat membantu meredakan sakit kepala akibat stres atau kelelahan.","0,7"
253,Kulit gatal,Kayu putih,"Teteskan minyak kayu putih pada area gigitan serangga. Minyak ini akan mengurangi rasa gatal, kemerahan, dan peradangan, berkat sifat anti-inflamasi dan antimikrobanya.","0,6"
254,Perut kembung,Kayu putih,"Oleskan minyak kayu putih pada perut, lalu pijat dengan gerakan melingkar searah jarum jam. Sensasi hangatnya akan membantu meredakan gas berlebih dan membuat perut lebih nyaman.","0,85"
255,Kelelahan,Kedelai,"Kedelai kaya akan protein dan isoflavon yang membantu memulihkan energi. Untuk mengatasi kelelahan, rebus segenggam kedelai hingga empuk, lalu konsumsi langsung atau tambahkan ke dalam salad atau sup. Ini membantu memperbaiki jaringan tubuh yang rusak dan meningkatkan stamina.","0,7"
256,Kulit kering,Kedelai,"Minyak kedelai atau susu kedelai dapat membantu melembapkan kulit. Oleskan minyak kedelai secara merata pada area kulit kering, biarkan selama 15-20 menit, lalu bilas dengan air hangat. Alternatifnya, minum susu kedelai setiap hari untuk meningkatkan hidrasi kulit dari dalam.","0,6"
257,Nyeri haid,Kedelai,Kandungan isoflavon dalam kedelai membantu menyeimbangkan hormon estrogen. Konsumsi susu kedelai atau tempe setiap hari untuk mengurangi intensitas dan frekuensi hot flashes. Satu gelas susu kedelai hangat dua kali sehari cukup untuk memberikan efek menenangkan.,"0,9"
258,Sembelit,Kedelai,"Serat dalam kedelai membantu melancarkan pencernaan. Rebus kedelai hingga matang, tambahkan sedikit garam, lalu konsumsi sebagai camilan sehat. Ini membantu meningkatkan pergerakan usus","0,5"
259,Nyeri otot,Kedelai,"Kandungan protein tinggi dalam kedelai membantu mempercepat pemulihan otot. Setelah olahraga, minum susu kedelai segar atau konsumsi kedelai rebus untuk membantu memperbaiki kerusakan otot dan mengurangi nyeri.","0,6"
260,Perut kembung,Keji beling,Keji beling membantu meredakan perut kembung dengan cara merebus 7-10 lembar daunnya dalam 2 gelas air hingga tersisa 1 gelas. Saring dan minum air rebusan ini hangat setelah makan untuk membantu melancarkan pencernaan dan mengurangi gas di perut.,"0,6"
261,Mual,Keji beling,"Untuk mual, cuci bersih 5-7 lembar daun keji beling, rebus dalam 2 gelas air selama 10 menit. Minum air rebusan hangat ini secara perlahan, satu kali sehari, untuk menenangkan perut.","0,4"
262,Gangguan pencernaan,Keji beling,"Keji beling membantu menormalkan frekuensi buang air kecil. Rebus 7-10 lembar daun keji beling dengan 3 gelas air hingga tersisa 1,5 gelas. Saring dan minum air rebusan ini dua kali sehari untuk membantu fungsi saluran kemih.","0,9"
263,Nyeri otot,Keji beling,"Untuk meredakan nyeri otot, rebus 7-8 lembar daun keji beling dalam 2 gelas air hingga menyusut menjadi 1 gelas. Minum air rebusan hangat ini setelah aktivitas berat untuk membantu mengurangi peradangan dan nyeri pada otot.","0,5"
264,Pembengkakan,Keji beling,Keji beling bersifat diuretik alami yang dapat membantu mengurangi bengkak akibat retensi cairan. Rebus 10 lembar daun dalam 3 gelas air hingga tersisa 2 gelas. Minum satu gelas di pagi hari dan satu gelas di malam hari.,"0,8"
265,Dehidrasi,Kelapa,"Air kelapa muda kaya akan elektrolit yang membantu mengatasi dehidrasi. Minum air kelapa segar 1-2 gelas, terutama setelah beraktivitas berat atau mengalami diare, untuk menggantikan cairan tubuh yang hilang.",1
266,Luka bakar ringan,Kelapa,Minyak kelapa dapat digunakan untuk meredakan rasa perih pada luka bakar ringan. Oleskan minyak kelapa murni secara tipis dan lembut pada area yang terkena setelah membersihkannya. Ulangi 2-3 kali sehari untuk membantu proses penyembuhan.,"0,8"
267,Kulit kering,Kelapa,"Minyak kelapa dapat melembapkan kulit yang kering atau pecah-pecah. Oleskan minyak kelapa murni pada kulit kering, pijat lembut hingga meresap. Gunakan setiap malam sebelum tidur untuk hasil optimal.","0,9"
268,Nyeri otot,Kelapa,"Campurkan 2-3 sendok makan minyak kelapa hangat dengan 2-3 tetes minyak esensial, seperti minyak peppermint atau lavender, lalu memijat lembut area yang nyeri. ","0,7"
269,Perut kembung,Kelapa,Minum air kelapa muda sebanyak 1 gelas (200–250 ml) dua kali sehari untuk membantu mengembalikan keseimbangan elektrolit dan meredakan perut kembung.,"0,6"
270,Kelelahan,Kelor,"Untuk mengatasi kelelahan, gunakan daun kelor segar atau kering sebagai teh. Rebus 1-2 sendok makan daun kelor dalam segelas air selama 5-10 menit, lalu saring dan minum hangat. Kandungan vitamin dan mineralnya membantu meningkatkan energi dan mengurangi rasa lelah.","0,9"
271,Pembengkakan,Kelor,Buat pasta dari daun kelor segar dengan cara menumbuknya hingga halus. Oleskan langsung pada area yang bengkak sebagai kompres alami. Sifat anti-inflamasi pada kelor membantu mengurangi pembengkakan dan mempercepat pemulihan.,"0,85"
272,Kulit gatal,Kelor,"Rebus beberapa daun kelor dalam air hingga mendidih, lalu gunakan air rebusannya untuk mencuci area kulit yang terasa gatal. Alternatifnya, daun yang ditumbuk juga dapat dioleskan langsung untuk meredakan iritasi.","0,7"
273,Nyeri sendi,Kelor,"Rebus 1 sendok teh bubuk kelor atau beberapa daun segar dalam segelas air, lalu minum hangat dua kali sehari. Kandungan antioksidan dan anti-inflamasi pada kelor membantu meredakan rasa sakit dan meningkatkan fleksibilitas sendi.","0,8"
274,Kelelahan,Kelor,"Tambahkan 1 sendok teh bubuk kelor ke dalam smoothies, jus, atau air hangat, lalu konsumsi setiap pagi. Kandungan zat besi dan vitamin C pada kelor dapat meningkatkan daya tahan tubuh dan melawan kelelahan akibat imun yang melemah.","0,95"
275,Batuk,Kembang kertas,Rebus segenggam bunga kembang kertas segar dalam dua gelas air hingga tersisa satu gelas. Saring dan minum air rebusan ini hangat dua kali sehari. Bunga ini membantu meredakan batuk dengan sifat ekspektorannya.,"0,4"
276,Demam,Kembang kertas,Rebus beberapa bunga kembang kertas dengan daun pandan dalam dua gelas air hingga mendidih. Saring dan minum saat hangat untuk membantu menurunkan suhu tubuh secara alami.,"0,6"
277,Nyeri haid,Kembang kertas,"Ambil segenggam bunga kembang kertas, rebus dengan segelas air hingga mendidih, lalu tambahkan sedikit madu. Minum saat hangat untuk membantu meredakan nyeri haid dan melancarkan peredaran darah.","0,7"
278,Sakit tenggorokan,Kembang kertas,"Seduh bunga kembang kertas segar dengan air panas seperti membuat teh. Biarkan selama 5-10 menit, saring, dan gunakan airnya untuk berkumur. Lakukan dua kali sehari untuk meredakan iritasi tenggorokan.","0,5"
279,Luka,Kembang kertas,Haluskan bunga kembang kertas segar dan tempelkan pada luka setelah membersihkannya. Kandungan antibakteri pada tanaman ini membantu mempercepat proses penyembuhan luka ringan.,"0,8"
280,Pembengkakan,Kembang pukul empat,"Untuk mengatasi bengkak atau memar, hancurkan daun kembang pukul 4 hingga halus, lalu tempelkan pada area yang bengkak. Biarkan selama 20-30 menit sebelum dibilas. Daun ini memiliki sifat anti-inflamasi yang membantu meredakan pembengkakan.","0,9"
281,Nyeri otot,Kembang pukul empat,Rebus daun atau akar kembang pukul 4 dalam segelas air hingga mendidih. Gunakan air rebusan yang hangat untuk kompres di area otot yang terasa nyeri. Lakukan dua kali sehari untuk meredakan ketegangan otot.,"0,7"
282,Luka,Kembang pukul empat,Haluskan daun kembang pukul 4 dan campur dengan sedikit garam. Tempelkan ramuan ini langsung ke area bisul. Biarkan selama beberapa jam sebelum dibilas. Ini membantu mengeluarkan nanah dan mempercepat penyembuhan.,"0,85"
283,Kulit gatal,Kembang pukul empat,"Untuk mengatasi gatal-gatal, rebus daun kembang pukul 4 dalam air hingga mendidih. Gunakan air rebusan hangat untuk mencuci area kulit yang gatal. Sifat antimikroba pada daun ini membantu mengurangi iritasi.","0,8"
284,Sakit kepala,Kembang pukul empat,"Hancurkan bunga kembang pukul 4 hingga halus, kemudian tempelkan di area pelipis. Biarkan selama 15-20 menit untuk membantu meredakan sakit kepala. Aroma bunga ini juga memberikan efek menenangkan.","0,5"
285,Nyeri otot,Kemuning,"Untuk meredakan nyeri otot, gunakan daun kemuning segar. Tumbuk segenggam daun hingga halus, lalu balurkan pada area otot yang sakit. Biarkan selama 30 menit, lalu bilas dengan air hangat. Sifat anti-inflamasi kemuning membantu meredakan nyeri dan ketegangan otot.","0,8"
286,Perut kembung,Kemuning,"Rebus 3-5 gram daun kemuning dalam dua gelas air hingga tersisa satu gelas. Saring air rebusan, lalu minum selagi hangat. Lakukan ini dua kali sehari untuk membantu meredakan gas dan kembung di perut.","0,7"
287,Kram perut,Kemuning,"Untuk kram perut, ambil kulit batang kemuning, cuci bersih, lalu rebus dengan dua gelas air hingga tersisa satu gelas. Minum rebusan ini hangat sekali sehari. Sifat antispasmodik pada kemuning membantu mengendurkan otot perut yang tegang.","0,6"
288,Pembengkakan,Kemuning,"Untuk mengatasi bengkak ringan, tumbuk daun kemuning segar hingga halus, lalu balurkan pada area bengkak. Biarkan selama 20-30 menit, lalu bilas. Daun kemuning membantu mengurangi pembengkakan berkat efek anti-inflamasi.","0,9"
289,Susah tidur,Kemuning,Seduh beberapa lembar daun kemuning dengan air panas seperti membuat teh. Minum teh ini 30 menit sebelum tidur untuk membantu tubuh rileks dan mempermudah tidur. Daun kemuning mengandung senyawa yang memberikan efek menenangkan.,"0,5"
290,Stres,Kenanga,"Untuk meredakan stres, teteskan 3-5 tetes minyak esensial kenanga ke dalam diffuser atau semangkuk air panas. Hirup uapnya selama 10-15 menit untuk membantu menenangkan pikiran dan mengurangi rasa cemas.","0,9"
291,Susah tidur,Kenanga,"Jika sulit tidur, oleskan 1-2 tetes minyak esensial kenanga ke bantal atau campurkan dengan minyak kelapa dan pijat di area pelipis sebelum tidur. Aromanya membantu merelaksasi tubuh dan memperbaiki kualitas tidur.","0,8"
292,Nyeri otot,Kenanga,Campurkan 5 tetes minyak esensial kenanga dengan 1 sendok makan minyak zaitun. Gunakan campuran ini untuk memijat area otot yang nyeri. Sifat anti-inflamasi kenanga membantu mengurangi ketegangan otot dan nyeri.,"0,6"
293,Kulit kering,Kenanga,"Untuk melembapkan kulit kering, campurkan 3 tetes minyak kenanga ke dalam 1 sendok teh minyak kelapa atau pelembap favorit. Oleskan ke area kulit yang kering untuk membantu melembapkan dan menutrisi kulit.","0,7"
294,Kelelahan,Kenanga,"Gunakan minyak kenanga dalam mandi air hangat. Tambahkan 5-7 tetes ke dalam bak mandi, dan rendam tubuh selama 15-20 menit. Ini membantu mengurangi kelelahan dan mengembalikan energi tubuh.","0,5"
295,Batuk,Kencur,"Parut 1-2 ruas kencur segar, peras untuk mengambil sarinya, lalu campur dengan sedikit madu. Minum ramuan ini dua kali sehari untuk membantu meredakan batuk dan melegakan tenggorokan.","0,9"
296,Nyeri otot,Kencur,"Tumbuk halus beberapa ruas kencur hingga menjadi pasta, campur dengan minyak kelapa hangat. Oleskan campuran ini ke area yang nyeri sambil dipijat perlahan. Lakukan 2-3 kali sehari untuk membantu meredakan nyeri otot.","0,7"
297,Perut kembung,Kencur,"Cuci bersih 1-2 ruas kencur segar, kunyah langsung bersama sedikit garam, kemudian telan. Cara ini membantu meredakan gas di perut dengan cepat. Ulangi jika diperlukan.",1
298,Sakit kepala,Kencur,"Tumbuk halus kencur segar dan campur dengan air hangat. Peras sarinya, kemudian minum 2-3 sendok makan ramuan ini. Untuk hasil maksimal, gunakan juga pasta kencur sebagai kompres di pelipis.","0,6"
299,Lemas,Kencur,Rebus 2-3 ruas kencur yang telah digeprek dalam dua gelas air hingga tersisa setengahnya. Minum air rebusan hangat ini untuk membantu meningkatkan energi dan mengurangi rasa lelah.,"0,5"
300,Kulit kering,Kentimun,"Potong ketimun segar menjadi irisan tipis, lalu tempelkan langsung pada area kulit yang kering atau iritasi. Biarkan selama 10-15 menit, kemudian bilas dengan air dingin. Ketimun membantu melembapkan kulit dan meredakan kemerahan berkat sifatnya yang menenangkan.","0,9"
301,Mata lelah,Kentimun,Iris ketimun segar dan dinginkan selama beberapa menit. Tempelkan irisan pada kelopak mata selama 10-15 menit. Kandungan air dan sifat pendingin ketimun membantu mengurangi bengkak dan menyegarkan mata.,"0,95"
302,Panas dalam,Kentimun,Blender ketimun segar dengan air dingin untuk membuat jus. Minum jus ini satu hingga dua kali sehari untuk meredakan rasa panas dalam. Ketimun memiliki efek mendinginkan tubuh dan membantu menjaga hidrasi.,"0,7"
303,Luka,Kentimun,"Parut ketimun segar dan aplikasikan pada kulit yang terkena matahari. Biarkan selama 20 menit, lalu bilas dengan air dingin. Ketimun membantu menenangkan kulit yang terbakar dan mengurangi rasa perih.","0,85"
304,Pembengkakan,Kentimun,"Haluskan ketimun menjadi pasta, lalu oleskan pada area yang bengkak atau lebam. Diamkan selama 15-20 menit dan ulangi 2-3 kali sehari. Ketimun membantu mengurangi pembengkakan dan mempercepat penyembuhan berkat sifat anti-inflamasinya.","0,8"
305,Kulit gatal,Ketepeng,"Tumbuk daun ketepeng segar hingga halus, lalu oleskan langsung ke area kulit yang gatal. Biarkan selama 15-20 menit sebelum dibilas dengan air hangat. Ulangi dua kali sehari untuk hasil maksimal.","0,95"
306,Luka,Ketepeng,"Hancurkan daun ketepeng segar, lalu tempelkan pada luka setelah dibersihkan. Balut dengan kain steril, dan ganti setiap hari. Daun ketepeng membantu mencegah infeksi dan mempercepat penyembuhan luka.","0,7"
307,Iritasi kulit,Ketepeng,"Ambil daun ketepeng, haluskan, dan campur dengan sedikit minyak kelapa. Oleskan ke area kulit yang terinfeksi jamur dua kali sehari. Daun ketepeng memiliki sifat antijamur alami yang efektif melawan infeksi kulit.","0,9"
308,Sembelit,Ketepeng,"Rebus 5-7 lembar daun ketepeng dalam dua gelas air hingga mendidih dan tersisa setengahnya. Minum rebusan air tersebut hangat satu kali sehari untuk melancarkan pencernaan, karena ketepeng memiliki sifat pencahar alami.","0,85"
309,Kulit kering,Ketepeng,"Tumbuk 5–7 lembar daun segar hingga halus, lalu mencampurnya dengan sedikit minyak kelapa hangat. Oleskan campuran tersebut pada area kulit kering 1–2 kali sehari hingga kondisi membaik.","0,6"
